"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","LandkreisID","Kreis","Bevölkerungsentwicklung","Bundesland","Inzidenz_log","Wintertemperatur","Sommertemperatur","Frühlingsniederschlag","Sommerniederschlag","Jahrestemperatur","Jahresniederschlag","Bevölkerung","Bevölkerung_Insg","Wintertemperatur_Vorjahr","Gesamt_Inzidenz"
2011,"1050","männlich",104,"14625","Bautzen",-0.17,"Sachsen",4.65396035015752,2.29333333333333,16.92,53.3,111.033333333333,10.56,669.7,146982,297711,NA,263
2012,"1050","männlich",47,"14625","Bautzen",-0.17,"Sachsen",3.87120101090789,0.523333333333333,17.4933333333333,59.35,78.2666666666667,10.13,670.8,146982,297711,2.29333333333333,115
2014,"1050","männlich",80,"14625","Bautzen",-0.17,"Sachsen",4.39444915467244,3.78,17.3333333333333,60.85,76.1,11.47,568.9,146982,297711,0.523333333333333,207
2015,"1050","männlich",86,"14625","Bautzen",-0.17,"Sachsen",4.46590811865458,4.43666666666667,17.4033333333333,51.5,48,11.38,620.4,146982,297711,3.78,198
2016,"1050","männlich",115,"14625","Bautzen",-0.17,"Sachsen",4.75359019110636,2.92,17.8833333333333,78.7,81.5333333333333,10.61,685.9,146982,297711,4.43666666666667,305
2017,"1050","männlich",127,"14625","Bautzen",-0.17,"Sachsen",4.85203026391962,1.76333333333333,18.1733333333333,43.3,64.7666666666667,10.72,631.2,146982,297711,2.92,295
2019,"1050","männlich",127,"14625","Bautzen",-0.17,"Sachsen",4.85203026391962,3.37,18.2766666666667,66.4,56.7,11.64,526.8,146982,297711,1.76333333333333,290
2020,"1050","männlich",153,"14625","Bautzen",-0.17,"Sachsen",5.03695260241363,4.93,16.8766666666667,77.55,63.9333333333333,11.51,611.7,146982,297711,3.37,355
2021,"1050","männlich",133,"14625","Bautzen",-0.17,"Sachsen",4.89783979995091,1.87666666666667,17.8333333333333,84.45,92.4666666666667,10.15,714.7,146982,297711,4.93,323
2022,"1050","männlich",67,"14625","Bautzen",-0.17,"Sachsen",4.21950770517611,4.04666666666667,18.92,25.7,21.7333333333333,11.41,464.9,146982,297711,1.87666666666667,178
2023,"1050","männlich",73,"14625","Bautzen",-0.17,"Sachsen",4.30406509320417,4.46666666666667,17.8,50.95,52.8,11.68,700,146982,297711,4.04666666666667,201
2011,"853","männlich",20,"14511","Chemnitz, Stadt",-0.05,"Sachsen",3.04452243772342,0.733333333333333,15.3533333333333,79.5,119.7,9.39,749.8,122678,248563,4.93,49
2012,"853","männlich",9,"14511","Chemnitz, Stadt",-0.05,"Sachsen",2.30258509299405,-0.993333333333333,15.8,76.2,89.2333333333333,8.78,729.4,122678,248563,0.733333333333333,24
2013,"853","männlich",15,"14511","Chemnitz, Stadt",-0.05,"Sachsen",2.77258872223978,0.166666666666667,15.2866666666667,163.9,122.733333333333,8.11,830,122678,248563,-0.993333333333333,30
2014,"853","männlich",33,"14511","Chemnitz, Stadt",-0.05,"Sachsen",3.52636052461616,2.48333333333333,15.5266666666667,82.55,83.2,10.08,636.7,122678,248563,0.166666666666667,75
2015,"853","männlich",59,"14511","Chemnitz, Stadt",-0.05,"Sachsen",4.0943445622221,2.83,15.9666666666667,49.05,49.0333333333333,9.83,644.9,122678,248563,2.48333333333333,123
2016,"853","männlich",64,"14511","Chemnitz, Stadt",-0.05,"Sachsen",4.17438726989564,1.72333333333333,16.3233333333333,54.35,70.1666666666667,9.27,729.1,122678,248563,2.83,138
2017,"853","männlich",42,"14511","Chemnitz, Stadt",-0.05,"Sachsen",3.76120011569356,0.446666666666667,16.5766666666667,47.05,66.3666666666667,9.21,785.2,122678,248563,1.72333333333333,97
2018,"853","männlich",52,"14511","Chemnitz, Stadt",-0.05,"Sachsen",3.97029191355212,1.06,17.6966666666667,44.4,37.2333333333333,10.28,507.5,122678,248563,0.446666666666667,128
2019,"853","männlich",69,"14511","Chemnitz, Stadt",-0.05,"Sachsen",4.24849524204936,2.31,16.7066666666667,40,42.5,10.27,654.3,122678,248563,1.06,148
2020,"853","männlich",34,"14511","Chemnitz, Stadt",-0.05,"Sachsen",3.55534806148941,3.62333333333333,15.2233333333333,61.6,50.3,10.27,654.5,122678,248563,2.31,62
2021,"853","männlich",54,"14511","Chemnitz, Stadt",-0.05,"Sachsen",4.00733318523247,0.816666666666667,15.8233333333333,96.45,107.7,8.65,838.9,122678,248563,3.62333333333333,135
2022,"853","männlich",42,"14511","Chemnitz, Stadt",-0.05,"Sachsen",3.76120011569356,2.29666666666667,17.4333333333333,26.9,31.6333333333333,10.2,688.5,122678,248563,0.816666666666667,90
2023,"853","männlich",11,"14511","Chemnitz, Stadt",-0.05,"Sachsen",2.484906649788,2.86,16.5466666666667,47.7,50.9666666666667,10.33,839.9,122678,248563,2.29666666666667,36
2011,"314","männlich",64,"14612","Dresden, Stadt",0.06,"Sachsen",4.17438726989564,1.30666666666667,16.39,47.1,108.733333333333,10.05,682.5,279338,563311,3.62333333333333,144
2012,"314","männlich",28,"14612","Dresden, Stadt",0.06,"Sachsen",3.36729582998647,-0.766666666666667,16.6833333333333,85.25,101.4,9.46,784.2,279338,563311,1.30666666666667,66
2013,"314","männlich",35,"14612","Dresden, Stadt",0.06,"Sachsen",3.58351893845611,0.61,16.33,148.8,114.3,8.9,752.5,279338,563311,-0.766666666666667,82
2014,"314","männlich",25,"14612","Dresden, Stadt",0.06,"Sachsen",3.25809653802148,2.94666666666667,16.61,76.45,93.0333333333333,10.8,625.9,279338,563311,0.61,60
2015,"314","männlich",32,"14612","Dresden, Stadt",0.06,"Sachsen",3.49650756146648,3.66666666666667,16.7166666666667,48.65,54.9666666666667,10.8,584.8,279338,563311,2.94666666666667,74
2016,"314","männlich",55,"14612","Dresden, Stadt",0.06,"Sachsen",4.02535169073515,2.30666666666667,17.3,58.25,80.9,10.06,705.8,279338,563311,3.66666666666667,118
2017,"314","männlich",55,"14612","Dresden, Stadt",0.06,"Sachsen",4.02535169073515,0.926666666666667,17.1633333333333,82.5,94.6,10.04,778,279338,563311,2.30666666666667,127
2018,"314","männlich",61,"14612","Dresden, Stadt",0.06,"Sachsen",4.12713438504509,1.57333333333333,18.55,26.9,25.9333333333333,11.05,402.4,279338,563311,0.926666666666667,139
2019,"314","männlich",36,"14612","Dresden, Stadt",0.06,"Sachsen",3.61091791264422,3.12666666666667,17.7133333333333,68.9,57,11.25,544.5,279338,563311,1.57333333333333,100
2020,"314","männlich",35,"14612","Dresden, Stadt",0.06,"Sachsen",3.58351893845611,4.2,16.2433333333333,65.25,53.1333333333333,10.99,657.6,279338,563311,3.12666666666667,74
2022,"314","männlich",21,"14612","Dresden, Stadt",0.06,"Sachsen",3.09104245335832,3.00333333333333,18.2366666666667,46.35,42.4333333333333,10.91,591.7,279338,563311,4.2,53
2023,"314","männlich",23,"14612","Dresden, Stadt",0.06,"Sachsen",3.17805383034795,3.61,17.1566666666667,44.75,44.1,11.13,731.9,279338,563311,3.00333333333333,49
2012,"3166","männlich",14,"14521","Erzgebirgskreis",-0.22,"Sachsen",2.70805020110221,-2.57333333333333,14.3833333333333,70.4,81.2333333333333,7.22,791.7,160991,328850,4.2,32
2013,"3166","männlich",35,"14521","Erzgebirgskreis",-0.22,"Sachsen",3.58351893845611,-1.03,13.85,219.15,162.266666666667,6.71,1044.3,160991,328850,-2.57333333333333,62
2015,"3166","männlich",31,"14521","Erzgebirgskreis",-0.22,"Sachsen",3.46573590279973,1.45,14.2333333333333,52.8,71.9666666666667,8.32,757.9,160991,328850,-1.03,71
2016,"3166","männlich",68,"14521","Erzgebirgskreis",-0.22,"Sachsen",4.23410650459726,0.426666666666667,14.8233333333333,66.15,71.1,7.76,812.7,160991,328850,1.45,152
2017,"3166","männlich",56,"14521","Erzgebirgskreis",-0.22,"Sachsen",4.04305126783455,-0.69,15.0833333333333,53.35,76.1666666666667,7.81,873.8,160991,328850,0.426666666666667,128
